code,predicted_pm2.5,geometry
78,5.7991743, -0.150818888854941 51.486155244186705_ -0.150818888854941 51.48721807881188_ -0.1525258741811697 51.48721807881188_ -0.1525258741811697 51.486155244186705_ -0.150818888854941 51.486155244186705
79,4.2293386, -0.150818888854941 51.48721807881188_ -0.150818888854941 51.48828091343706_ -0.1525258741811697 51.48828091343706_ -0.1525258741811697 51.48721807881188_ -0.150818888854941 51.48721807881188
80,5.942013, -0.150818888854941 51.48828091343706_ -0.150818888854941 51.48934374806223_ -0.1525258741811697 51.48934374806223_ -0.1525258741811697 51.48828091343706_ -0.150818888854941 51.48828091343706
81,6.2140374, -0.150818888854941 51.48934374806223_ -0.150818888854941 51.49040658268741_ -0.1525258741811697 51.49040658268741_ -0.1525258741811697 51.48934374806223_ -0.150818888854941 51.48934374806223
82,6.3370657, -0.150818888854941 51.49040658268741_ -0.150818888854941 51.49146941731259_ -0.1525258741811697 51.49146941731259_ -0.1525258741811697 51.49040658268741_ -0.150818888854941 51.49040658268741
83,6.701282, -0.150818888854941 51.49146941731259_ -0.150818888854941 51.49253225193777_ -0.1525258741811697 51.49253225193777_ -0.1525258741811697 51.49146941731259_ -0.150818888854941 51.49146941731259
84,6.5490446, -0.150818888854941 51.49253225193777_ -0.150818888854941 51.49359508656294_ -0.1525258741811697 51.49359508656294_ -0.1525258741811697 51.49253225193777_ -0.150818888854941 51.49253225193777
85,6.5531282, -0.150818888854941 51.49359508656294_ -0.150818888854941 51.49465792118812_ -0.1525258741811697 51.49465792118812_ -0.1525258741811697 51.49359508656294_ -0.150818888854941 51.49359508656294
86,6.4414024, -0.150818888854941 51.49465792118812_ -0.150818888854941 51.495720755813295_ -0.1525258741811697 51.495720755813295_ -0.1525258741811697 51.49465792118812_ -0.150818888854941 51.49465792118812
87,5.9828224, -0.150818888854941 51.495720755813295_ -0.150818888854941 51.49678359043847_ -0.1525258741811697 51.49678359043847_ -0.1525258741811697 51.495720755813295_ -0.150818888854941 51.495720755813295
