source,target,length
18126986_,20961325_,50.195
18126999_,6809837967_,74.33500000000001
18126999_,1270275716_,40.646
18126999_,1643665746_,31.296
18127003_,20961237_,41.644
18127003_,1128684501_,9.368
18127012_,25321889_,45.598
18127012_,1286468301_,4.19
18127012_,33140582_,249.16199999999998
18127021_,27510792_,34.988
18127021_,27125486_,60.101
18127028_,27090013_,99.106
18127028_,866578407_,20.407
18127028_,26787713_,11.074
18127030_,27125490_,42.723
18127030_,8131686423_,70.191
18127030_,27512726_,32.523
18127030_,866578376_,43.881
18127033_,8242038021_,56.162
18127033_,8242013105_,52.082
18127033_,26389091_,68.607
18127033_,27125490_,55.962
18127035_,8117778957_,4.954
18127035_,27510861_,172.713
18127035_,8242013102_,54.876
18127038_,18127040_,118.77
18127038_,8154123710_,118.949
18127038_,1235688091_,41.88
18127040_,27089997_,88.84
18127040_,27089863_,39.511
18127040_,27089886_,40.023
18127048_,27510798_,74.49
18127048_,27512725_,77.083
18127048_,26787667_,72.18700000000001
18127062_,7764053661_,25.861
18127062_,776999468_,51.364
18127062_,765883321_,86.356
18129852_,3926025074_,10.042
18129852_,3926025076_,11.393
18129852_,3926025071_,20.607
20821071_,919782740_,4.719
20821071_,759784910_,12.238
20821075_,3679143926_,17.401
20821075_,759784947_,15.142
20821075_,1699764752_,30.475
20821088_,86115403_,9.464
20821088_,298299280_,25.654
20821088_,20821099_,100.208
20821088_,743020459_,95.25800000000001
20821088_,1109765914_,25.807
20821089_,1263657535_,73.056
20821089_,26389510_,111.16000000000001
20821089_,862464796_,12.079
20821094_,122712626_,85.505
20821094_,20821099_,122.363
20821094_,298299292_,55.756
20821094_,1298312613_,174.165
20821099_,743020459_,42.545
20821099_,800676793_,30.148999999999997
20821114_,86116092_,62.468
20821114_,20947332_,79.663
20821114_,86116093_,126.03200000000001
20821114_,122712628_,97.78
20821124_,3765220260_,18.103
20821124_,3765220259_,28.491
20821124_,3765160653_,8.698
20821126_,1691189790_,41.125
20821126_,1691189798_,35.057
20821126_,304884708_,19.246
20821127_,25291703_,39.276
20821127_,304884708_,37.434
20821127_,1140790826_,24.647
20947178_,3765183178_,72.975
20947178_,385312258_,92.211
20947178_,1317875005_,95.79199999999999
20947191_,90441254_,48.464
20947191_,20947192_,48.051
20947191_,1094860291_,29.416
20947191_,3765139296_,21.168
20947192_,1094860308_,46.746
20947192_,385181199_,40.949
20947198_,385181199_,105.906
20947198_,926473206_,57.461000000000006
20947198_,3765209111_,117.278
20947206_,20947209_,92.447
20947206_,1298312611_,79.012
20947206_,298299284_,121.999
20947209_,20947214_,149.68
20947209_,1436511707_,175.80400000000006
20947214_,20947238_,53.357
20947214_,20947223_,175.831
20947223_,21494024_,5.975
20947223_,20947225_,55.215999999999994
20947225_,7394547983_,43.33
20947225_,21494025_,61.708
20947238_,4339572377_,5.836
20947308_,321725545_,17.807
20947308_,298299611_,40.294
20947308_,5337345903_,154.72599999999997
20947315_,298299108_,145.194
20947315_,298299108_,148.35699999999997
20947315_,298299522_,66.431
20947332_,122712628_,75.096
20947332_,298299284_,133.768
20947332_,298299276_,162.248
20947333_,735391283_,57.46
20947333_,20947334_,29.881
20947333_,4322519841_,181.56400000000002
20947334_,306462297_,46.83
20947334_,306462392_,16.021
20947335_,306462830_,16.112
20947335_,3840781182_,10.459
20947335_,20947339_,44.068000000000005
20947339_,207564568_,17.559
20947339_,8891192327_,229.36
20947401_,7985652888_,8.662
20947401_,102962468_,66.436
20947401_,236863201_,230.954
20947404_,236863201_,20.756
20947404_,735009413_,12.068
20947404_,20947408_,127.58499999999998
20947404_,1737443923_,121.81900000000002
20947404_,735009426_,122.209
20947404_,1973962692_,36.626000000000005
20947408_,1737443923_,18.776
20960097_,20960099_,55.516
20960097_,3121866481_,59.889
20960097_,7721933141_,36.282
20960098_,7711465544_,30.887
20960098_,7706821119_,3.33
20960098_,2808877323_,46.744
20960099_,356809886_,43.202
20960100_,7746290969_,1.784
20960814_,20960818_,32.856
20960814_,20962512_,90.39299999999999
20960815_,25321743_,40.833
20960815_,25321719_,19.835
20960815_,27123732_,37.231
20960818_,25321719_,46.758
20961137_,7862013139_,79.037
20961137_,5670576321_,58.494
20961138_,1270275718_,62.049
20961138_,5670576324_,5.785
20961138_,7862013132_,36.344
20961139_,1270275716_,94.68299999999999
20961139_,1270275718_,28.706
20961139_,1128684501_,30.766
20961219_,5196797577_,7.89
20961219_,266821720_,83.65100000000001
20961219_,776771983_,17.575
20961219_,9589031283_,17.063000000000002
20961220_,1115938080_,13.936
20961220_,312670772_,51.666
20961220_,1095004078_,93.772
20961222_,1095004078_,23.038
20961222_,20961238_,100.68499999999999
20961222_,20961235_,194.253
20961228_,20961229_,35.388999999999996
20961228_,20961236_,200.202
20961228_,20961239_,127.223
20961229_,20961251_,14.005
20961229_,20961237_,183.737
20961235_,1128684319_,30.108
20961235_,312670730_,34.682
20961236_,1128684319_,25.081
20961236_,33202557_,6.422
20961237_,33202557_,49.295
20961238_,20961239_,52.058
20961238_,1115911880_,29.289
20961239_,20961240_,49.717
20961240_,20961251_,131.418
20961256_,312670730_,11.915
20961256_,4404156358_,29.604
20961256_,995867860_,68.241
20961301_,7862013136_,70.49199999999999
20961301_,7862013117_,54.641000000000005
20961301_,1270275716_,144.34199999999998
20961322_,8781213321_,74.573
20961325_,20961349_,65.973
20961325_,20961326_,50.685
20961349_,33203760_,9.496
