code,predicted_pm2.5,geometry
26,5.6530614, -0.1491119035287124 51.48934374806223_ -0.1491119035287124 51.49040658268741_ -0.150818888854941 51.49040658268741_ -0.150818888854941 51.48934374806223_ -0.1491119035287124 51.48934374806223
27,6.0466, -0.1491119035287124 51.49040658268741_ -0.1491119035287124 51.49146941731259_ -0.150818888854941 51.49146941731259_ -0.150818888854941 51.49040658268741_ -0.1491119035287124 51.49040658268741
28,5.986913, -0.1491119035287124 51.49146941731259_ -0.1491119035287124 51.49253225193777_ -0.150818888854941 51.49253225193777_ -0.150818888854941 51.49146941731259_ -0.1491119035287124 51.49146941731259
29,5.3929324, -0.1491119035287124 51.49253225193777_ -0.1491119035287124 51.49359508656294_ -0.150818888854941 51.49359508656294_ -0.150818888854941 51.49253225193777_ -0.1491119035287124 51.49253225193777
30,5.4273806, -0.1491119035287124 51.49359508656294_ -0.1491119035287124 51.49465792118812_ -0.150818888854941 51.49465792118812_ -0.150818888854941 51.49359508656294_ -0.1491119035287124 51.49359508656294
31,6.0238943, -0.1491119035287124 51.49465792118812_ -0.1491119035287124 51.495720755813295_ -0.150818888854941 51.495720755813295_ -0.150818888854941 51.49465792118812_ -0.1491119035287124 51.49465792118812
32,5.1119843, -0.1491119035287124 51.495720755813295_ -0.1491119035287124 51.49678359043847_ -0.150818888854941 51.49678359043847_ -0.150818888854941 51.495720755813295_ -0.1491119035287124 51.495720755813295
33,5.856162, -0.1491119035287124 51.49678359043847_ -0.1491119035287124 51.49784642506365_ -0.150818888854941 51.49784642506365_ -0.150818888854941 51.49678359043847_ -0.1491119035287124 51.49678359043847
34,5.805162, -0.1491119035287124 51.49784642506365_ -0.1491119035287124 51.49890925968882_ -0.150818888854941 51.49890925968882_ -0.150818888854941 51.49784642506365_ -0.1491119035287124 51.49784642506365
35,5.7094097, -0.1491119035287124 51.49890925968882_ -0.1491119035287124 51.499972094314_ -0.150818888854941 51.499972094314_ -0.150818888854941 51.49890925968882_ -0.1491119035287124 51.49890925968882
36,5.1713696, -0.1491119035287124 51.499972094314_ -0.1491119035287124 51.50103492893918_ -0.150818888854941 51.50103492893918_ -0.150818888854941 51.499972094314_ -0.1491119035287124 51.499972094314
37,5.0139146, -0.1491119035287124 51.50103492893918_ -0.1491119035287124 51.50209776356436_ -0.150818888854941 51.50209776356436_ -0.150818888854941 51.50103492893918_ -0.1491119035287124 51.50103492893918
38,5.3837395, -0.1491119035287124 51.50209776356436_ -0.1491119035287124 51.50316059818953_ -0.150818888854941 51.50316059818953_ -0.150818888854941 51.50209776356436_ -0.1491119035287124 51.50209776356436
39,4.98151, -0.1491119035287124 51.50316059818953_ -0.1491119035287124 51.504223432814705_ -0.150818888854941 51.504223432814705_ -0.150818888854941 51.50316059818953_ -0.1491119035287124 51.50316059818953
