code,geometry
75, -0.1506766400777553 51.47632402390382_ -0.1506766400777553 51.4772982889769_ -0.1522413766267982 51.4772982889769_ -0.1522413766267982 51.47632402390382_ -0.1506766400777553 51.47632402390382
76, -0.1506766400777553 51.4772982889769_ -0.1506766400777553 51.47827255404998_ -0.1522413766267982 51.47827255404998_ -0.1522413766267982 51.4772982889769_ -0.1506766400777553 51.4772982889769
77, -0.1506766400777553 51.47827255404998_ -0.1506766400777553 51.479246819123055_ -0.1522413766267982 51.479246819123055_ -0.1522413766267982 51.47827255404998_ -0.1506766400777553 51.47827255404998
78, -0.1506766400777553 51.479246819123055_ -0.1506766400777553 51.48022108419614_ -0.1522413766267982 51.48022108419614_ -0.1522413766267982 51.479246819123055_ -0.1506766400777553 51.479246819123055
79, -0.1506766400777553 51.48022108419614_ -0.1506766400777553 51.481195349269214_ -0.1522413766267982 51.481195349269214_ -0.1522413766267982 51.48022108419614_ -0.1506766400777553 51.48022108419614
80, -0.1506766400777553 51.481195349269214_ -0.1506766400777553 51.48216961434229_ -0.1522413766267982 51.48216961434229_ -0.1522413766267982 51.481195349269214_ -0.1506766400777553 51.481195349269214
81, -0.1506766400777553 51.48216961434229_ -0.1506766400777553 51.48314387941537_ -0.1522413766267982 51.48314387941537_ -0.1522413766267982 51.48216961434229_ -0.1506766400777553 51.48216961434229
82, -0.1506766400777553 51.48314387941537_ -0.1506766400777553 51.48411814448845_ -0.1522413766267982 51.48411814448845_ -0.1522413766267982 51.48314387941537_ -0.1506766400777553 51.48314387941537
83, -0.1506766400777553 51.48411814448845_ -0.1506766400777553 51.48509240956153_ -0.1522413766267982 51.48509240956153_ -0.1522413766267982 51.48411814448845_ -0.1506766400777553 51.48411814448845
84, -0.1506766400777553 51.48509240956153_ -0.1506766400777553 51.48606667463461_ -0.1522413766267982 51.48606667463461_ -0.1522413766267982 51.48509240956153_ -0.1506766400777553 51.48509240956153
85, -0.1506766400777553 51.48606667463461_ -0.1506766400777553 51.48704093970768_ -0.1522413766267982 51.48704093970768_ -0.1522413766267982 51.48606667463461_ -0.1506766400777553 51.48606667463461
86, -0.1506766400777553 51.48704093970768_ -0.1506766400777553 51.488015204780766_ -0.1522413766267982 51.488015204780766_ -0.1522413766267982 51.48704093970768_ -0.1506766400777553 51.48704093970768
87, -0.1506766400777553 51.488015204780766_ -0.1506766400777553 51.48898946985384_ -0.1522413766267982 51.48898946985384_ -0.1522413766267982 51.488015204780766_ -0.1506766400777553 51.488015204780766
88, -0.1506766400777553 51.48898946985384_ -0.1506766400777553 51.489963734926924_ -0.1522413766267982 51.489963734926924_ -0.1522413766267982 51.48898946985384_ -0.1506766400777553 51.48898946985384
89, -0.1506766400777553 51.489963734926924_ -0.1506766400777553 51.490938_ -0.1522413766267982 51.490938_ -0.1522413766267982 51.489963734926924_ -0.1506766400777553 51.489963734926924
90, -0.1506766400777553 51.490938_ -0.1506766400777553 51.491912265073076_ -0.1522413766267982 51.491912265073076_ -0.1522413766267982 51.490938_ -0.1506766400777553 51.490938
91, -0.1506766400777553 51.491912265073076_ -0.1506766400777553 51.49288653014616_ -0.1522413766267982 51.49288653014616_ -0.1522413766267982 51.491912265073076_ -0.1506766400777553 51.491912265073076
92, -0.1506766400777553 51.49288653014616_ -0.1506766400777553 51.493860795219234_ -0.1522413766267982 51.493860795219234_ -0.1522413766267982 51.49288653014616_ -0.1506766400777553 51.49288653014616
93, -0.1506766400777553 51.493860795219234_ -0.1506766400777553 51.49483506029232_ -0.1522413766267982 51.49483506029232_ -0.1522413766267982 51.493860795219234_ -0.1506766400777553 51.493860795219234
94, -0.1506766400777553 51.49483506029232_ -0.1506766400777553 51.49580932536539_ -0.1522413766267982 51.49580932536539_ -0.1522413766267982 51.49483506029232_ -0.1506766400777553 51.49483506029232
95, -0.1506766400777553 51.49580932536539_ -0.1506766400777553 51.49678359043847_ -0.1522413766267982 51.49678359043847_ -0.1522413766267982 51.49580932536539_ -0.1506766400777553 51.49580932536539
96, -0.1506766400777553 51.49678359043847_ -0.1506766400777553 51.49775785551155_ -0.1522413766267982 51.49775785551155_ -0.1522413766267982 51.49678359043847_ -0.1506766400777553 51.49678359043847
97, -0.1506766400777553 51.49775785551155_ -0.1506766400777553 51.49873212058463_ -0.1522413766267982 51.49873212058463_ -0.1522413766267982 51.49775785551155_ -0.1506766400777553 51.49775785551155
98, -0.1506766400777553 51.49873212058463_ -0.1506766400777553 51.49970638565771_ -0.1522413766267982 51.49970638565771_ -0.1522413766267982 51.49873212058463_ -0.1506766400777553 51.49873212058463
99, -0.1506766400777553 51.49970638565771_ -0.1506766400777553 51.500680650730786_ -0.1522413766267982 51.500680650730786_ -0.1522413766267982 51.49970638565771_ -0.1506766400777553 51.49970638565771
100, -0.1506766400777553 51.500680650730786_ -0.1506766400777553 51.50165491580386_ -0.1522413766267982 51.50165491580386_ -0.1522413766267982 51.500680650730786_ -0.1506766400777553 51.500680650730786
101, -0.1506766400777553 51.50165491580386_ -0.1506766400777553 51.502629180876944_ -0.1522413766267982 51.502629180876944_ -0.1522413766267982 51.50165491580386_ -0.1506766400777553 51.50165491580386
102, -0.1506766400777553 51.502629180876944_ -0.1506766400777553 51.50360344595002_ -0.1522413766267982 51.50360344595002_ -0.1522413766267982 51.502629180876944_ -0.1506766400777553 51.502629180876944
103, -0.1506766400777553 51.50360344595002_ -0.1506766400777553 51.5045777110231_ -0.1522413766267982 51.5045777110231_ -0.1522413766267982 51.50360344595002_ -0.1506766400777553 51.50360344595002
104, -0.1506766400777553 51.5045777110231_ -0.1506766400777553 51.50555197609618_ -0.1522413766267982 51.50555197609618_ -0.1522413766267982 51.5045777110231_ -0.1506766400777553 51.5045777110231
105, -0.1506766400777553 51.50555197609618_ -0.1506766400777553 51.506526241169254_ -0.1522413766267982 51.506526241169254_ -0.1522413766267982 51.50555197609618_ -0.1506766400777553 51.50555197609618
106, -0.1506766400777553 51.506526241169254_ -0.1506766400777553 51.50750050624234_ -0.1522413766267982 51.50750050624234_ -0.1522413766267982 51.506526241169254_ -0.1506766400777553 51.506526241169254
107, -0.1506766400777553 51.50750050624234_ -0.1506766400777553 51.50847477131541_ -0.1522413766267982 51.50847477131541_ -0.1522413766267982 51.50750050624234_ -0.1506766400777553 51.50750050624234
108, -0.1506766400777553 51.50847477131541_ -0.1506766400777553 51.509449036388496_ -0.1522413766267982 51.509449036388496_ -0.1522413766267982 51.50847477131541_ -0.1506766400777553 51.50847477131541
109, -0.1506766400777553 51.509449036388496_ -0.1506766400777553 51.51042330146157_ -0.1522413766267982 51.51042330146157_ -0.1522413766267982 51.509449036388496_ -0.1506766400777553 51.509449036388496
110, -0.1506766400777553 51.51042330146157_ -0.1506766400777553 51.51139756653465_ -0.1522413766267982 51.51139756653465_ -0.1522413766267982 51.51042330146157_ -0.1506766400777553 51.51042330146157
111, -0.1506766400777553 51.51139756653465_ -0.1506766400777553 51.51237183160773_ -0.1522413766267982 51.51237183160773_ -0.1522413766267982 51.51139756653465_ -0.1506766400777553 51.51139756653465
112, -0.1506766400777553 51.51237183160773_ -0.1506766400777553 51.513346096680806_ -0.1522413766267982 51.513346096680806_ -0.1522413766267982 51.51237183160773_ -0.1506766400777553 51.51237183160773
113, -0.1506766400777553 51.513346096680806_ -0.1506766400777553 51.51432036175389_ -0.1522413766267982 51.51432036175389_ -0.1522413766267982 51.513346096680806_ -0.1506766400777553 51.513346096680806
114, -0.1506766400777553 51.51432036175389_ -0.1506766400777553 51.515294626826964_ -0.1522413766267982 51.515294626826964_ -0.1522413766267982 51.51432036175389_ -0.1506766400777553 51.51432036175389
115, -0.1506766400777553 51.515294626826964_ -0.1506766400777553 51.51626889190004_ -0.1522413766267982 51.51626889190004_ -0.1522413766267982 51.515294626826964_ -0.1506766400777553 51.515294626826964
116, -0.1506766400777553 51.51626889190004_ -0.1506766400777553 51.51724315697312_ -0.1522413766267982 51.51724315697312_ -0.1522413766267982 51.51626889190004_ -0.1506766400777553 51.51626889190004
117, -0.1506766400777553 51.51724315697312_ -0.1506766400777553 51.5182174220462_ -0.1522413766267982 51.5182174220462_ -0.1522413766267982 51.51724315697312_ -0.1506766400777553 51.51724315697312
118, -0.1506766400777553 51.5182174220462_ -0.1506766400777553 51.51919168711928_ -0.1522413766267982 51.51919168711928_ -0.1522413766267982 51.5182174220462_ -0.1506766400777553 51.5182174220462
119, -0.1506766400777553 51.51919168711928_ -0.1506766400777553 51.52016595219236_ -0.1522413766267982 51.52016595219236_ -0.1522413766267982 51.51919168711928_ -0.1506766400777553 51.51919168711928
120, -0.1522413766267982 51.46171004780764_ -0.1522413766267982 51.46268431288072_ -0.1538061131758412 51.46268431288072_ -0.1538061131758412 51.46171004780764_ -0.1522413766267982 51.46171004780764
121, -0.1522413766267982 51.46268431288072_ -0.1522413766267982 51.4636585779538_ -0.1538061131758412 51.4636585779538_ -0.1538061131758412 51.46268431288072_ -0.1522413766267982 51.46268431288072
122, -0.1522413766267982 51.4636585779538_ -0.1522413766267982 51.46463284302688_ -0.1538061131758412 51.46463284302688_ -0.1538061131758412 51.4636585779538_ -0.1522413766267982 51.4636585779538
123, -0.1522413766267982 51.46463284302688_ -0.1522413766267982 51.46560710809996_ -0.1538061131758412 51.46560710809996_ -0.1538061131758412 51.46463284302688_ -0.1522413766267982 51.46463284302688
124, -0.1522413766267982 51.46560710809996_ -0.1522413766267982 51.466581373173035_ -0.1538061131758412 51.466581373173035_ -0.1538061131758412 51.46560710809996_ -0.1522413766267982 51.46560710809996
125, -0.1522413766267982 51.466581373173035_ -0.1522413766267982 51.46755563824611_ -0.1538061131758412 51.46755563824611_ -0.1538061131758412 51.466581373173035_ -0.1522413766267982 51.466581373173035
126, -0.1522413766267982 51.46755563824611_ -0.1522413766267982 51.468529903319194_ -0.1538061131758412 51.468529903319194_ -0.1538061131758412 51.46755563824611_ -0.1522413766267982 51.46755563824611
127, -0.1522413766267982 51.468529903319194_ -0.1522413766267982 51.46950416839227_ -0.1538061131758412 51.46950416839227_ -0.1538061131758412 51.468529903319194_ -0.1522413766267982 51.468529903319194
128, -0.1522413766267982 51.46950416839227_ -0.1522413766267982 51.47047843346535_ -0.1538061131758412 51.47047843346535_ -0.1538061131758412 51.46950416839227_ -0.1522413766267982 51.46950416839227
129, -0.1522413766267982 51.47047843346535_ -0.1522413766267982 51.47145269853843_ -0.1538061131758412 51.47145269853843_ -0.1538061131758412 51.47047843346535_ -0.1522413766267982 51.47047843346535
130, -0.1522413766267982 51.47145269853843_ -0.1522413766267982 51.472426963611504_ -0.1538061131758412 51.472426963611504_ -0.1538061131758412 51.47145269853843_ -0.1522413766267982 51.47145269853843
131, -0.1522413766267982 51.472426963611504_ -0.1522413766267982 51.47340122868459_ -0.1538061131758412 51.47340122868459_ -0.1538061131758412 51.472426963611504_ -0.1522413766267982 51.472426963611504
132, -0.1522413766267982 51.47340122868459_ -0.1522413766267982 51.47437549375766_ -0.1538061131758412 51.47437549375766_ -0.1538061131758412 51.47340122868459_ -0.1522413766267982 51.47340122868459
133, -0.1522413766267982 51.47437549375766_ -0.1522413766267982 51.475349758830745_ -0.1538061131758412 51.475349758830745_ -0.1538061131758412 51.47437549375766_ -0.1522413766267982 51.47437549375766
134, -0.1522413766267982 51.475349758830745_ -0.1522413766267982 51.47632402390382_ -0.1538061131758412 51.47632402390382_ -0.1538061131758412 51.475349758830745_ -0.1522413766267982 51.475349758830745
135, -0.1522413766267982 51.47632402390382_ -0.1522413766267982 51.4772982889769_ -0.1538061131758412 51.4772982889769_ -0.1538061131758412 51.47632402390382_ -0.1522413766267982 51.47632402390382
136, -0.1522413766267982 51.4772982889769_ -0.1522413766267982 51.47827255404998_ -0.1538061131758412 51.47827255404998_ -0.1538061131758412 51.4772982889769_ -0.1522413766267982 51.4772982889769
137, -0.1522413766267982 51.47827255404998_ -0.1522413766267982 51.479246819123055_ -0.1538061131758412 51.479246819123055_ -0.1538061131758412 51.47827255404998_ -0.1522413766267982 51.47827255404998
138, -0.1522413766267982 51.479246819123055_ -0.1522413766267982 51.48022108419614_ -0.1538061131758412 51.48022108419614_ -0.1538061131758412 51.479246819123055_ -0.1522413766267982 51.479246819123055
139, -0.1522413766267982 51.48022108419614_ -0.1522413766267982 51.481195349269214_ -0.1538061131758412 51.481195349269214_ -0.1538061131758412 51.48022108419614_ -0.1522413766267982 51.48022108419614
140, -0.1522413766267982 51.481195349269214_ -0.1522413766267982 51.48216961434229_ -0.1538061131758412 51.48216961434229_ -0.1538061131758412 51.481195349269214_ -0.1522413766267982 51.481195349269214
141, -0.1522413766267982 51.48216961434229_ -0.1522413766267982 51.48314387941537_ -0.1538061131758412 51.48314387941537_ -0.1538061131758412 51.48216961434229_ -0.1522413766267982 51.48216961434229
142, -0.1522413766267982 51.48314387941537_ -0.1522413766267982 51.48411814448845_ -0.1538061131758412 51.48411814448845_ -0.1538061131758412 51.48314387941537_ -0.1522413766267982 51.48314387941537
143, -0.1522413766267982 51.48411814448845_ -0.1522413766267982 51.48509240956153_ -0.1538061131758412 51.48509240956153_ -0.1538061131758412 51.48411814448845_ -0.1522413766267982 51.48411814448845
144, -0.1522413766267982 51.48509240956153_ -0.1522413766267982 51.48606667463461_ -0.1538061131758412 51.48606667463461_ -0.1538061131758412 51.48509240956153_ -0.1522413766267982 51.48509240956153
