code,predicted_pm2.5,geometry
31,3.841, -0.1248624678804757 51.51501694091394_ -0.1248624678804757 51.516590753724294_ -0.1273904944864519 51.516590753724294_ -0.1273904944864519 51.51501694091394_ -0.1248624678804757 51.51501694091394
32,3.8512971, -0.1248624678804757 51.516590753724294_ -0.1248624678804757 51.51816456653466_ -0.1273904944864519 51.51816456653466_ -0.1273904944864519 51.516590753724294_ -0.1248624678804757 51.516590753724294
33,3.8558514, -0.1248624678804757 51.51816456653466_ -0.1248624678804757 51.519738379345014_ -0.1273904944864519 51.519738379345014_ -0.1273904944864519 51.51816456653466_ -0.1248624678804757 51.51816456653466
34,3.8537242, -0.1248624678804757 51.519738379345014_ -0.1248624678804757 51.52131219215537_ -0.1273904944864519 51.52131219215537_ -0.1273904944864519 51.519738379345014_ -0.1248624678804757 51.519738379345014
35,3.8565624, -0.1248624678804757 51.52131219215537_ -0.1248624678804757 51.52288600496573_ -0.1273904944864519 51.52288600496573_ -0.1273904944864519 51.52131219215537_ -0.1248624678804757 51.52131219215537
36,3.842961, -0.1248624678804757 51.52288600496573_ -0.1248624678804757 51.52445981777608_ -0.1273904944864519 51.52445981777608_ -0.1273904944864519 51.52288600496573_ -0.1248624678804757 51.52288600496573
37,3.8326728, -0.1248624678804757 51.52445981777608_ -0.1248624678804757 51.52603363058645_ -0.1273904944864519 51.52603363058645_ -0.1273904944864519 51.52445981777608_ -0.1248624678804757 51.52445981777608
38,3.8396072, -0.1248624678804757 51.52603363058645_ -0.1248624678804757 51.5276074433968_ -0.1273904944864519 51.5276074433968_ -0.1273904944864519 51.52603363058645_ -0.1248624678804757 51.52603363058645
39,3.8441043, -0.1248624678804757 51.5276074433968_ -0.1248624678804757 51.52918125620716_ -0.1273904944864519 51.52918125620716_ -0.1273904944864519 51.5276074433968_ -0.1248624678804757 51.5276074433968
40,5.02021, -0.1273904944864519 51.46622874379285_ -0.1273904944864519 51.4678025566032_ -0.1299185210924281 51.4678025566032_ -0.1299185210924281 51.46622874379285_ -0.1273904944864519 51.46622874379285
41,4.8939147, -0.1273904944864519 51.4678025566032_ -0.1273904944864519 51.46937636941356_ -0.1299185210924281 51.46937636941356_ -0.1299185210924281 51.4678025566032_ -0.1273904944864519 51.4678025566032
42,4.9543176, -0.1273904944864519 51.46937636941356_ -0.1273904944864519 51.47095018222392_ -0.1299185210924281 51.47095018222392_ -0.1299185210924281 51.46937636941356_ -0.1273904944864519 51.46937636941356
43,4.9680123, -0.1273904944864519 51.47095018222392_ -0.1273904944864519 51.47252399503428_ -0.1299185210924281 51.47252399503428_ -0.1299185210924281 51.47095018222392_ -0.1273904944864519 51.47095018222392
44,5.1375947, -0.1273904944864519 51.47252399503428_ -0.1273904944864519 51.474097807844636_ -0.1299185210924281 51.474097807844636_ -0.1299185210924281 51.47252399503428_ -0.1273904944864519 51.47252399503428
45,5.1886454, -0.1273904944864519 51.474097807844636_ -0.1273904944864519 51.47567162065499_ -0.1299185210924281 51.47567162065499_ -0.1299185210924281 51.474097807844636_ -0.1273904944864519 51.474097807844636
46,4.997221, -0.1273904944864519 51.47567162065499_ -0.1273904944864519 51.47724543346535_ -0.1299185210924281 51.47724543346535_ -0.1299185210924281 51.47567162065499_ -0.1273904944864519 51.47567162065499
47,4.98356, -0.1273904944864519 51.47724543346535_ -0.1273904944864519 51.47881924627571_ -0.1299185210924281 51.47881924627571_ -0.1299185210924281 51.47724543346535_ -0.1273904944864519 51.47724543346535
48,5.17847, -0.1273904944864519 51.47881924627571_ -0.1273904944864519 51.48039305908607_ -0.1299185210924281 51.48039305908607_ -0.1299185210924281 51.47881924627571_ -0.1273904944864519 51.47881924627571
49,5.094724, -0.1273904944864519 51.48039305908607_ -0.1273904944864519 51.481966871896425_ -0.1299185210924281 51.481966871896425_ -0.1299185210924281 51.48039305908607_ -0.1273904944864519 51.48039305908607
50,5.0786767, -0.1273904944864519 51.481966871896425_ -0.1273904944864519 51.48354068470678_ -0.1299185210924281 51.48354068470678_ -0.1299185210924281 51.481966871896425_ -0.1273904944864519 51.481966871896425
51,4.9850097, -0.1273904944864519 51.48354068470678_ -0.1273904944864519 51.48511449751714_ -0.1299185210924281 51.48511449751714_ -0.1299185210924281 51.48354068470678_ -0.1273904944864519 51.48354068470678
52,4.9251995, -0.1273904944864519 51.48511449751714_ -0.1273904944864519 51.4866883103275_ -0.1299185210924281 51.4866883103275_ -0.1299185210924281 51.48511449751714_ -0.1273904944864519 51.48511449751714
53,3.7977302, -0.1273904944864519 51.4866883103275_ -0.1273904944864519 51.48826212313786_ -0.1299185210924281 51.48826212313786_ -0.1299185210924281 51.4866883103275_ -0.1273904944864519 51.4866883103275
54,3.8076463, -0.1273904944864519 51.48826212313786_ -0.1273904944864519 51.489835935948214_ -0.1299185210924281 51.489835935948214_ -0.1299185210924281 51.48826212313786_ -0.1273904944864519 51.48826212313786
55,3.7976403, -0.1273904944864519 51.489835935948214_ -0.1273904944864519 51.49140974875857_ -0.1299185210924281 51.49140974875857_ -0.1299185210924281 51.489835935948214_ -0.1273904944864519 51.489835935948214
56,3.7804682, -0.1273904944864519 51.49140974875857_ -0.1273904944864519 51.49298356156893_ -0.1299185210924281 51.49298356156893_ -0.1299185210924281 51.49140974875857_ -0.1273904944864519 51.49140974875857
57,3.7772067, -0.1273904944864519 51.49298356156893_ -0.1273904944864519 51.49455737437929_ -0.1299185210924281 51.49455737437929_ -0.1299185210924281 51.49298356156893_ -0.1273904944864519 51.49298356156893
58,3.7830608, -0.1273904944864519 51.49455737437929_ -0.1273904944864519 51.49613118718965_ -0.1299185210924281 51.49613118718965_ -0.1299185210924281 51.49455737437929_ -0.1273904944864519 51.49455737437929
59,3.779185, -0.1273904944864519 51.49613118718965_ -0.1273904944864519 51.497705_ -0.1299185210924281 51.497705_ -0.1299185210924281 51.49613118718965_ -0.1273904944864519 51.49613118718965
60,3.8697755, -0.1273904944864519 51.497705_ -0.1273904944864519 51.49927881281036_ -0.1299185210924281 51.49927881281036_ -0.1299185210924281 51.497705_ -0.1273904944864519 51.497705
61,3.883178, -0.1273904944864519 51.49927881281036_ -0.1273904944864519 51.500852625620716_ -0.1299185210924281 51.500852625620716_ -0.1299185210924281 51.49927881281036_ -0.1273904944864519 51.49927881281036
62,3.880507, -0.1273904944864519 51.500852625620716_ -0.1273904944864519 51.50242643843108_ -0.1299185210924281 51.50242643843108_ -0.1299185210924281 51.500852625620716_ -0.1273904944864519 51.500852625620716
63,3.8994782, -0.1273904944864519 51.50242643843108_ -0.1273904944864519 51.504000251241436_ -0.1299185210924281 51.504000251241436_ -0.1299185210924281 51.50242643843108_ -0.1273904944864519 51.50242643843108
64,3.869581, -0.1273904944864519 51.504000251241436_ -0.1273904944864519 51.50557406405179_ -0.1299185210924281 51.50557406405179_ -0.1299185210924281 51.504000251241436_ -0.1273904944864519 51.504000251241436
65,3.8781066, -0.1273904944864519 51.50557406405179_ -0.1273904944864519 51.50714787686215_ -0.1299185210924281 51.50714787686215_ -0.1299185210924281 51.50557406405179_ -0.1273904944864519 51.50557406405179
66,3.882322, -0.1273904944864519 51.50714787686215_ -0.1273904944864519 51.508721689672505_ -0.1299185210924281 51.508721689672505_ -0.1299185210924281 51.50714787686215_ -0.1273904944864519 51.50714787686215
