code,predicted_pm2.5,geometry
37,5, -0.1494204406242446 51.51029550248287_ -0.1494204406242446 51.512094145694704_ -0.1523096138882174 51.512094145694704_ -0.1523096138882174 51.51029550248287_ -0.1494204406242446 51.51029550248287
38,5, -0.1494204406242446 51.512094145694704_ -0.1494204406242446 51.513892788906546_ -0.1523096138882174 51.513892788906546_ -0.1523096138882174 51.512094145694704_ -0.1494204406242446 51.512094145694704
39,5, -0.1494204406242446 51.513892788906546_ -0.1494204406242446 51.51569143211838_ -0.1523096138882174 51.51569143211838_ -0.1523096138882174 51.513892788906546_ -0.1494204406242446 51.513892788906546
40,5, -0.1523096138882174 51.479718567881626_ -0.1523096138882174 51.48151721109346_ -0.1551987871521903 51.48151721109346_ -0.1551987871521903 51.479718567881626_ -0.1523096138882174 51.479718567881626
41,5, -0.1523096138882174 51.48151721109346_ -0.1523096138882174 51.4833158543053_ -0.1551987871521903 51.4833158543053_ -0.1551987871521903 51.48151721109346_ -0.1523096138882174 51.48151721109346
42,5, -0.1523096138882174 51.4833158543053_ -0.1523096138882174 51.48511449751714_ -0.1551987871521903 51.48511449751714_ -0.1551987871521903 51.4833158543053_ -0.1523096138882174 51.4833158543053
43,5, -0.1523096138882174 51.48511449751714_ -0.1523096138882174 51.48691314072898_ -0.1551987871521903 51.48691314072898_ -0.1551987871521903 51.48511449751714_ -0.1523096138882174 51.48511449751714
44,5, -0.1523096138882174 51.48691314072898_ -0.1523096138882174 51.488711783940815_ -0.1551987871521903 51.488711783940815_ -0.1551987871521903 51.48691314072898_ -0.1523096138882174 51.48691314072898
45,5, -0.1523096138882174 51.488711783940815_ -0.1523096138882174 51.49051042715265_ -0.1551987871521903 51.49051042715265_ -0.1551987871521903 51.488711783940815_ -0.1523096138882174 51.488711783940815
46,5, -0.1523096138882174 51.49051042715265_ -0.1523096138882174 51.49230907036449_ -0.1551987871521903 51.49230907036449_ -0.1551987871521903 51.49051042715265_ -0.1523096138882174 51.49051042715265
47,5, -0.1523096138882174 51.49230907036449_ -0.1523096138882174 51.49410771357633_ -0.1551987871521903 51.49410771357633_ -0.1551987871521903 51.49230907036449_ -0.1523096138882174 51.49230907036449
48,5, -0.1523096138882174 51.49410771357633_ -0.1523096138882174 51.49590635678817_ -0.1551987871521903 51.49590635678817_ -0.1551987871521903 51.49410771357633_ -0.1523096138882174 51.49410771357633
49,5, -0.1523096138882174 51.49590635678817_ -0.1523096138882174 51.497705_ -0.1551987871521903 51.497705_ -0.1551987871521903 51.49590635678817_ -0.1523096138882174 51.49590635678817
50,5, -0.1523096138882174 51.497705_ -0.1523096138882174 51.49950364321184_ -0.1551987871521903 51.49950364321184_ -0.1551987871521903 51.497705_ -0.1523096138882174 51.497705
51,5, -0.1523096138882174 51.49950364321184_ -0.1523096138882174 51.50130228642368_ -0.1551987871521903 51.50130228642368_ -0.1551987871521903 51.49950364321184_ -0.1523096138882174 51.49950364321184
52,5, -0.1523096138882174 51.50130228642368_ -0.1523096138882174 51.503100929635515_ -0.1551987871521903 51.503100929635515_ -0.1551987871521903 51.50130228642368_ -0.1523096138882174 51.50130228642368
53,5, -0.1523096138882174 51.503100929635515_ -0.1523096138882174 51.50489957284736_ -0.1551987871521903 51.50489957284736_ -0.1551987871521903 51.503100929635515_ -0.1523096138882174 51.503100929635515
54,5, -0.1523096138882174 51.50489957284736_ -0.1523096138882174 51.50669821605919_ -0.1551987871521903 51.50669821605919_ -0.1551987871521903 51.50489957284736_ -0.1523096138882174 51.50489957284736
55,5, -0.1523096138882174 51.50669821605919_ -0.1523096138882174 51.50849685927103_ -0.1551987871521903 51.50849685927103_ -0.1551987871521903 51.50669821605919_ -0.1523096138882174 51.50669821605919
56,5, -0.1523096138882174 51.50849685927103_ -0.1523096138882174 51.51029550248287_ -0.1551987871521903 51.51029550248287_ -0.1551987871521903 51.50849685927103_ -0.1523096138882174 51.50849685927103
57,5, -0.1523096138882174 51.51029550248287_ -0.1523096138882174 51.512094145694704_ -0.1551987871521903 51.512094145694704_ -0.1551987871521903 51.51029550248287_ -0.1523096138882174 51.51029550248287
58,5, -0.1523096138882174 51.512094145694704_ -0.1523096138882174 51.513892788906546_ -0.1551987871521903 51.513892788906546_ -0.1551987871521903 51.512094145694704_ -0.1523096138882174 51.512094145694704
59,5, -0.1523096138882174 51.513892788906546_ -0.1523096138882174 51.51569143211838_ -0.1551987871521903 51.51569143211838_ -0.1551987871521903 51.513892788906546_ -0.1523096138882174 51.513892788906546
60,5, -0.1551987871521903 51.479718567881626_ -0.1551987871521903 51.48151721109346_ -0.1580879604161631 51.48151721109346_ -0.1580879604161631 51.479718567881626_ -0.1551987871521903 51.479718567881626
61,5, -0.1551987871521903 51.48151721109346_ -0.1551987871521903 51.4833158543053_ -0.1580879604161631 51.4833158543053_ -0.1580879604161631 51.48151721109346_ -0.1551987871521903 51.48151721109346
62,5, -0.1551987871521903 51.4833158543053_ -0.1551987871521903 51.48511449751714_ -0.1580879604161631 51.48511449751714_ -0.1580879604161631 51.4833158543053_ -0.1551987871521903 51.4833158543053
