code,predicted_pm2.5,geometry
86,5.7101936, -0.1299185210924281 51.47567162065499_ -0.1299185210924281 51.47724543346535_ -0.1324465476984043 51.47724543346535_ -0.1324465476984043 51.47567162065499_ -0.1299185210924281 51.47567162065499
87,5.624228, -0.1299185210924281 51.47724543346535_ -0.1299185210924281 51.47881924627571_ -0.1324465476984043 51.47881924627571_ -0.1324465476984043 51.47724543346535_ -0.1299185210924281 51.47724543346535
88,5.773935, -0.1299185210924281 51.47881924627571_ -0.1299185210924281 51.48039305908607_ -0.1324465476984043 51.48039305908607_ -0.1324465476984043 51.47881924627571_ -0.1299185210924281 51.47881924627571
89,5.7411027, -0.1299185210924281 51.48039305908607_ -0.1299185210924281 51.481966871896425_ -0.1324465476984043 51.481966871896425_ -0.1324465476984043 51.48039305908607_ -0.1299185210924281 51.48039305908607
90,5.823346, -0.1299185210924281 51.481966871896425_ -0.1299185210924281 51.48354068470678_ -0.1324465476984043 51.48354068470678_ -0.1324465476984043 51.481966871896425_ -0.1299185210924281 51.481966871896425
91,5.7013817, -0.1299185210924281 51.48354068470678_ -0.1299185210924281 51.48511449751714_ -0.1324465476984043 51.48511449751714_ -0.1324465476984043 51.48354068470678_ -0.1299185210924281 51.48354068470678
92,5.675634, -0.1299185210924281 51.48511449751714_ -0.1299185210924281 51.4866883103275_ -0.1324465476984043 51.4866883103275_ -0.1324465476984043 51.48511449751714_ -0.1299185210924281 51.48511449751714
93,5.125436, -0.1299185210924281 51.4866883103275_ -0.1299185210924281 51.48826212313786_ -0.1324465476984043 51.48826212313786_ -0.1324465476984043 51.4866883103275_ -0.1299185210924281 51.4866883103275
94,5.1127567, -0.1299185210924281 51.48826212313786_ -0.1299185210924281 51.489835935948214_ -0.1324465476984043 51.489835935948214_ -0.1324465476984043 51.48826212313786_ -0.1299185210924281 51.48826212313786
95,5.142023, -0.1299185210924281 51.489835935948214_ -0.1299185210924281 51.49140974875857_ -0.1324465476984043 51.49140974875857_ -0.1324465476984043 51.489835935948214_ -0.1299185210924281 51.489835935948214
