code,predicted_pm2.5,geometry
92,5.1821184, -0.1506766400777553 51.49288653014616_ -0.1506766400777553 51.493860795219234_ -0.1522413766267982 51.493860795219234_ -0.1522413766267982 51.49288653014616_ -0.1506766400777553 51.49288653014616
93,5.136358, -0.1506766400777553 51.493860795219234_ -0.1506766400777553 51.49483506029232_ -0.1522413766267982 51.49483506029232_ -0.1522413766267982 51.493860795219234_ -0.1506766400777553 51.493860795219234
94,5.1306033, -0.1506766400777553 51.49483506029232_ -0.1506766400777553 51.49580932536539_ -0.1522413766267982 51.49580932536539_ -0.1522413766267982 51.49483506029232_ -0.1506766400777553 51.49483506029232
95,5.157262, -0.1506766400777553 51.49580932536539_ -0.1506766400777553 51.49678359043847_ -0.1522413766267982 51.49678359043847_ -0.1522413766267982 51.49580932536539_ -0.1506766400777553 51.49580932536539
96,5.069177, -0.1506766400777553 51.49678359043847_ -0.1506766400777553 51.49775785551155_ -0.1522413766267982 51.49775785551155_ -0.1522413766267982 51.49678359043847_ -0.1506766400777553 51.49678359043847
97,5.0527883, -0.1506766400777553 51.49775785551155_ -0.1506766400777553 51.49873212058463_ -0.1522413766267982 51.49873212058463_ -0.1522413766267982 51.49775785551155_ -0.1506766400777553 51.49775785551155
98,5.012933, -0.1506766400777553 51.49873212058463_ -0.1506766400777553 51.49970638565771_ -0.1522413766267982 51.49970638565771_ -0.1522413766267982 51.49873212058463_ -0.1506766400777553 51.49873212058463
99,5.025145, -0.1506766400777553 51.49970638565771_ -0.1506766400777553 51.500680650730786_ -0.1522413766267982 51.500680650730786_ -0.1522413766267982 51.49970638565771_ -0.1506766400777553 51.49970638565771
100,5.066758, -0.1506766400777553 51.500680650730786_ -0.1506766400777553 51.50165491580386_ -0.1522413766267982 51.50165491580386_ -0.1522413766267982 51.500680650730786_ -0.1506766400777553 51.500680650730786
101,4.956835, -0.1506766400777553 51.50165491580386_ -0.1506766400777553 51.502629180876944_ -0.1522413766267982 51.502629180876944_ -0.1522413766267982 51.50165491580386_ -0.1506766400777553 51.50165491580386
102,5.0598297, -0.1506766400777553 51.502629180876944_ -0.1506766400777553 51.50360344595002_ -0.1522413766267982 51.50360344595002_ -0.1522413766267982 51.502629180876944_ -0.1506766400777553 51.502629180876944
103,5.1423297, -0.1506766400777553 51.50360344595002_ -0.1506766400777553 51.5045777110231_ -0.1522413766267982 51.5045777110231_ -0.1522413766267982 51.50360344595002_ -0.1506766400777553 51.50360344595002
104,5.029178, -0.1506766400777553 51.5045777110231_ -0.1506766400777553 51.50555197609618_ -0.1522413766267982 51.50555197609618_ -0.1522413766267982 51.5045777110231_ -0.1506766400777553 51.5045777110231
